2020-04-09 09:15:23.125[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - Starting MessageMapperTest on LAPTOP-9TIRPSPG with PID 12816 (started by hp in G:\dev\javaProject\mybatis-demo)
2020-04-09 09:15:23.126[main][main] DEBUG c.e.m.demo.mapper.MessageMapperTest - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-04-09 09:15:23.127[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - No active profile set, falling back to default profiles: default
2020-04-09 09:15:24.231[main][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-04-09 09:15:24.289[main][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 38ms. Found 0 JPA repository interfaces.
2020-04-09 09:15:24.521[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-09 09:15:25.413[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-09 09:15:27.165[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-04-09 09:15:27.229[main][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-04-09 09:15:27.356[main][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.12.Final
2020-04-09 09:15:27.537[main][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-04-09 09:15:27.713[main][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-04-09 09:15:28.050[main][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-04-09 09:15:28.063[main][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-04-09 09:15:28.447[main][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-04-09 09:15:28.871[main][main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-09 09:15:29.795[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - Started MessageMapperTest in 7.063 seconds (JVM running for 8.735)
2020-04-09 09:15:30.237[main][main] DEBUG c.e.m.d.m.MessageMapper.batchInsert - ==>  Preparing: insert into message (msg_text,msg_summary) values (?,?) , (?,?) 
2020-04-09 09:15:30.274[main][main] DEBUG c.e.m.d.m.MessageMapper.batchInsert - ==> Parameters: apple(String), 水果(String), orange(String), 水果(String)
2020-04-09 09:15:30.281[main][main] DEBUG c.e.m.d.m.MessageMapper.batchInsert - <==    Updates: 2
2020-04-09 09:15:30.282[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 插入的数据条数：2
2020-04-09 09:15:30.312[SpringContextShutdownHook][SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-09 09:15:30.314[SpringContextShutdownHook][SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2020-04-09 09:15:30.318[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-09 09:15:30.359[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-04-09 09:15:50.386[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.mybatis.demo.mapper.MessageMapperTest], using SpringBootContextLoader
2020-04-09 09:15:50.391[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.mybatis.demo.mapper.MessageMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-09 09:15:50.393[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.mybatis.demo.mapper.MessageMapperTest]: MessageMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-09 09:15:50.573[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.mybatis.demo.MybatisDemoApplication for test class com.example.mybatis.demo.mapper.MessageMapperTest
2020-04-09 09:15:50.707[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-09 09:15:50.736[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1a5b6f42, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5038d0b5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@32115b28, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2ad48653, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6bb4dd34, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7d9f158f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@45efd90f, org.springframework.test.context.event.EventPublishingTestExecutionListener@4b8729ff, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@61710c6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3214ee6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@383dc82c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4a07d605, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@74287ea3]
2020-04-09 09:15:51.243[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - Starting MessageMapperTest on LAPTOP-9TIRPSPG with PID 4616 (started by hp in G:\dev\javaProject\mybatis-demo)
2020-04-09 09:15:51.244[main][main] DEBUG c.e.m.demo.mapper.MessageMapperTest - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-04-09 09:15:51.245[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - No active profile set, falling back to default profiles: default
2020-04-09 09:15:52.692[main][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-04-09 09:15:52.758[main][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 43ms. Found 0 JPA repository interfaces.
2020-04-09 09:15:53.008[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-09 09:15:53.548[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-09 09:15:55.163[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-04-09 09:15:55.232[main][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-04-09 09:15:55.346[main][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.12.Final
2020-04-09 09:15:55.510[main][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-04-09 09:15:55.678[main][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-04-09 09:15:55.995[main][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-04-09 09:15:56.005[main][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-04-09 09:15:56.378[main][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-04-09 09:15:56.838[main][main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-09 09:15:57.699[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - Started MessageMapperTest in 6.894 seconds (JVM running for 8.594)
2020-04-09 09:15:57.889[main][main] DEBUG c.e.m.d.m.MessageMapper.selectAll - ==>  Preparing: select * from message 
2020-04-09 09:15:57.924[main][main] DEBUG c.e.m.d.m.MessageMapper.selectAll - ==> Parameters: 
2020-04-09 09:15:57.948[main][main] DEBUG c.e.m.d.m.MessageMapper.selectAll - <==      Total: 21
2020-04-09 09:15:57.951[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=7, msgText=computer, msgSummary=夏天)
2020-04-09 09:15:57.952[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=8, msgText=apple, msgSummary=水果)
2020-04-09 09:15:57.953[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=9, msgText=orange, msgSummary=水果)
2020-04-09 09:15:57.953[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=10, msgText=梨花, msgSummary=夏天)
2020-04-09 09:15:57.953[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=11, msgText=apple, msgSummary=水果)
2020-04-09 09:15:57.953[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=12, msgText=orange, msgSummary=水果)
2020-04-09 09:15:57.953[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=13, msgText=梨花, msgSummary=夏天)
2020-04-09 09:15:57.953[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=14, msgText=apple, msgSummary=水果)
2020-04-09 09:15:57.953[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=15, msgText=orange, msgSummary=水果)
2020-04-09 09:15:57.953[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=16, msgText=梨花, msgSummary=夏天)
2020-04-09 09:15:57.954[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=17, msgText=apple, msgSummary=水果)
2020-04-09 09:15:57.954[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=18, msgText=orange, msgSummary=水果)
2020-04-09 09:15:57.954[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=19, msgText=梨花, msgSummary=夏天)
2020-04-09 09:15:57.954[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=20, msgText=apple, msgSummary=水果)
2020-04-09 09:15:57.954[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=21, msgText=orange, msgSummary=水果)
